
> res_calibre
   nodedepth nodesize ntree   R2_train       R2_OOB Gini_train  Gini_OOB
1       1000        5   100 0.57644036 -0.054204043  0.9936604 0.1400443
2       1000       10   100 0.41906586 -0.029615850  0.9688006 0.1622685
3       1000       20   100 0.28969579 -0.013127720  0.9028910 0.1792034
4       1000       30   100 0.22626172 -0.004774351  0.8428669 0.1903204
5       1000       50   100 0.16360696  0.004246268  0.7486799 0.2083329
6       1000      100   100 0.10452801  0.013590980  0.6179005 0.2326469
7       1000      200   100 0.06837253  0.018135427  0.4967967 0.2481693
8       1000      400   100 0.04803311  0.020262927  0.4123602 0.2549035
9       1000     1000   100 0.03295254  0.021786601  0.3345474 0.2631340
10      1000     2000   100 0.02706548  0.021602983  0.3009652 0.2631274
11      1000     3000   100 0.02452780  0.021123790  0.2860056 0.2614595
12      1000     5000   100 0.02170615  0.020203947  0.2693088 0.2566559

