"";"RMSE";"Rsquared";"Resample";"n_vars"
"1";3040,502108403;0,000637234247685891;"Fold1.Rep01";1
"2";1462,01768500585;0,000519187568360853;"Fold2.Rep01";1
"3";3808,98248560132;0,00945791961623142;"Fold3.Rep01";1
"4";1155,5105718044;0,000378786630621259;"Fold4.Rep01";1
"5";1358,43127762097;0,000185887127396062;"Fold5.Rep01";1
"6";1626,47637898523;0,000223332419913006;"Fold1.Rep02";1
"7";2913,81238549998;0,0213225604014491;"Fold2.Rep02";1
"8";3066,70050035951;1,83242019315834e-06;"Fold3.Rep02";1
"9";1978,65331258358;0,000222124829485251;"Fold4.Rep02";1
"10";2146,64955584403;0,000555833178396842;"Fold5.Rep02";1
"11";2265,18754435214;8,94303425756821e-05;"Fold1.Rep03";1
"12";2011,482914009;1,77262035714709e-08;"Fold2.Rep03";1
"13";1286,82353120133;0,000741704981134888;"Fold3.Rep03";1
"14";3143,37825850174;0,000163240620388336;"Fold4.Rep03";1
"15";2888,38118150526;0,0189071638304143;"Fold5.Rep03";1
"16";2919,01775803225;0,0236839418142351;"Fold1.Rep04";1
"17";3107,16967990829;0,000119157755867518;"Fold2.Rep04";1
"18";2209,78527011668;0,00290608821789505;"Fold3.Rep04";1
"19";2184,07161289628;0,000313693206953238;"Fold4.Rep04";1
"20";1123,80540041388;2,23308173083739e-05;"Fold5.Rep04";1
"21";1187,68462120764;0,00097532981093619;"Fold1.Rep05";1
"22";2220,68358536068;0,000142114443977058;"Fold2.Rep05";1
"23";1296,56096085282;3,591355519521e-05;"Fold3.Rep05";1
"24";3413,22568362138;0,000154640105910097;"Fold4.Rep05";1
"25";3065,75441391894;0,0170766209316015;"Fold5.Rep05";1
"26";1072,29356890253;0,000992064754465879;"Fold1.Rep06";1
"27";4195,85509438101;0,00822656785472114;"Fold2.Rep06";1
"28";1054,2454262785;0,000738481128315398;"Fold3.Rep06";1
"29";2754,36539976969;1,56655036878101e-05;"Fold4.Rep06";1
"30";1266,43410024371;0,000372814842838236;"Fold5.Rep06";1
"31";1260,34478768212;0,000191960413825527;"Fold1.Rep07";1
"32";1972,32410994345;0,000127868218665209;"Fold2.Rep07";1
"33";3547,33720829221;2,34018549663645e-06;"Fold3.Rep07";1
"34";2995,68914517991;0,0197620308381856;"Fold4.Rep07";1
"35";1426,33416728456;9,67356853196622e-05;"Fold5.Rep07";1
"36";1964,62554321416;0,000312568864766783;"Fold1.Rep08";1
"37";1177,19475578806;0,000164535796692746;"Fold2.Rep08";1
"38";3587,44281701853;9,67143532109455e-05;"Fold3.Rep08";1
"39";1529,48375352235;0,000225198806934974;"Fold4.Rep08";1
"40";2936,42747161535;0,0252613737695473;"Fold5.Rep08";1
"41";2189,41417269972;0,000250880065206783;"Fold1.Rep09";1
"42";3085,32288802065;1,38674686352319e-05;"Fold2.Rep09";1
"43";1160,04269583646;0,001232302448995;"Fold3.Rep09";1
"44";3016,42747816133;0,0187293116342997;"Fold4.Rep09";1
"45";2072,94784165818;2,18609554986067e-06;"Fold5.Rep09";1
"46";1283,3667236009;0,00284799386912196;"Fold1.Rep10";1
"47";1417,50129099796;0,000304075389341349;"Fold2.Rep10";1
"48";2969,17939686568;0,0162246178911512;"Fold3.Rep10";1
"49";3899,98327823998;4,71664824528444e-05;"Fold4.Rep10";1
"50";1169,78252066172;8,74951510878479e-05;"Fold5.Rep10";1
"51";2308,06932707177;0,00058750324999223;"Fold1.Rep11";1
"52";1171,18177121914;0,000334964610784224;"Fold2.Rep11";1
"53";4361,43576743733;0,0102867621781952;"Fold3.Rep11";1
"54";1351,41968856986;0,000323049946091295;"Fold4.Rep11";1
"55";1229,65344901751;2,8774095111422e-05;"Fold5.Rep11";1
"56";1500,09158762097;0,00162045943096853;"Fold1.Rep12";1
"57";1164,43895112258;0,000594807266305521;"Fold2.Rep12";1
"58";3442,60568548519;0,015006784150186;"Fold3.Rep12";1
"59";1246,44136415279;5,70219849023691e-05;"Fold4.Rep12";1
"60";3473,2090507943;0,000197694540738014;"Fold5.Rep12";1
"61";1148,41432541051;0,000642941887177032;"Fold1.Rep13";1
"62";1391,35298829269;1,37793846017071e-05;"Fold2.Rep13";1
"63";1101,03027061439;0,000121051321080099;"Fold3.Rep13";1
"64";3823,56132052979;0,0146258065406604;"Fold4.Rep13";1
"65";3160,27815487053;9,47106656863962e-05;"Fold5.Rep13";1
"66";1138,20911544821;0,000328800513540866;"Fold1.Rep14";1
"67";3324,39567813454;0,0128034055786096;"Fold2.Rep14";1
"68";3253,41370434619;1,90861659303744e-05;"Fold3.Rep14";1
"69";1215,38031493808;0,00736762155825882;"Fold4.Rep14";1
"70";2156,25590448349;0,000158829785675258;"Fold5.Rep14";1
"71";1083,37361334555;0,000530780978171316;"Fold1.Rep15";1
"72";2358,89304547856;0,000166396646715384;"Fold2.Rep15";1
"73";2998,21136476493;0,0239334546831603;"Fold3.Rep15";1
"74";1993,60767782691;1,38779621956599e-06;"Fold4.Rep15";1
"75";3062,2133033997;5,07449256541761e-06;"Fold5.Rep15";1
"76";2902,26348950285;0,0251180026069074;"Fold1.Rep01";2
"77";2092,63426274381;0,000435074722600282;"Fold2.Rep01";2
"78";1093,38370363221;0,00387001538525093;"Fold3.Rep01";2
"79";3654,51193136745;0,000181091919511352;"Fold4.Rep01";2
"80";1289,25477378927;0,000402302734508853;"Fold5.Rep01";2
"81";3446,40200677953;3,11124164127234e-05;"Fold1.Rep02";2
"82";1413,83004888918;0,00182852266245596;"Fold2.Rep02";2
"83";2941,13213904078;0,0197971900760126;"Fold3.Rep02";2
"84";2199,06851252852;0,000355373349771618;"Fold4.Rep02";2
"85";1282,65524513364;0,00308224124695073;"Fold5.Rep02";2
"86";1286,34054540615;0,00054849013017996;"Fold1.Rep03";2
"87";2015,0853885204;0,000335077270617625;"Fold2.Rep03";2
"88";3039,11381864117;0,0220611395500014;"Fold3.Rep03";2
"89";1118,95484523814;0,00363027108683205;"Fold4.Rep03";2
"90";3579,87400477896;0,000146816770008106;"Fold5.Rep03";2
"91";3073,03246518004;0,00021418166452278;"Fold1.Rep04";2
"92";1258,38457640743;0,00359136717469124;"Fold2.Rep04";2
"93";3793,50007601617;0,0146985632405509;"Fold3.Rep04";2
"94";1119,84403903517;0,00298451989399274;"Fold4.Rep04";2
"95";1524,24240238632;7,82642663733742e-05;"Fold5.Rep04";2
"96";3352,30827374877;0,013796687348417;"Fold1.Rep05";2
"97";3111,36628415102;3,80094924559879e-05;"Fold2.Rep05";2
"98";2232,5653499629;8,47742330269347e-05;"Fold3.Rep05";2
"99";1100,56387427735;0,00606690110804775;"Fold4.Rep05";2
"100";1382,31254833484;0,0010381753421351;"Fold5.Rep05";2
"101";3074,63508178942;6,42913717835633e-05;"Fold1.Rep06";2
"102";1257,39339128558;0,000560292094483697;"Fold2.Rep06";2
"103";1264,48647215486;0,00213176296156629;"Fold3.Rep06";2
"104";3515,10263961226;0,00924573063517834;"Fold4.Rep06";2
"105";2008,85136145489;0,000552038529207797;"Fold5.Rep06";2
"106";1441,24175432205;0,00044690611088142;"Fold1.Rep07";2
"107";3308,9851828737;0,0174494816471897;"Fold2.Rep07";2
"108";3064,03757672317;0,00088498715933969;"Fold3.Rep07";2
"109";2311,12075767924;0,000305573690568749;"Fold4.Rep07";2
"110";1122,27599707452;0,000644744591254858;"Fold5.Rep07";2
"111";3100,17479365126;0,000374519961484541;"Fold1.Rep08";2
"112";2712,00360027504;3,31533383701276e-08;"Fold2.Rep08";2
"113";3007,25879683802;0,00934096001107849;"Fold3.Rep08";2
"114";1342,47028762378;0,000305462488593551;"Fold4.Rep08";2
"115";1109,50043967077;0,00142736753687741;"Fold5.Rep08";2
"116";1131,6538235598;0,00522585419745278;"Fold1.Rep09";2
"117";1418,81165335918;0,00254631808578174;"Fold2.Rep09";2
"118";3076,94543264262;0,000429476322329122;"Fold3.Rep09";2
"119";2053,76193554889;0,000371547816838815;"Fold4.Rep09";2
"120";3464,40811616457;0,0152630799876338;"Fold5.Rep09";2
"121";2925,13420896338;0,0240274185535652;"Fold1.Rep10";2
"122";2159,40088516604;0,000456974192520425;"Fold2.Rep10";2
"123";1975,68518685791;0,000138121091316393;"Fold3.Rep10";2
"124";3156,01876967632;0,000520612299242969;"Fold4.Rep10";2
"125";1389,42707270864;0,00129726730491694;"Fold5.Rep10";2
"126";1245,13945823047;0,000995944097238596;"Fold1.Rep11";2
"127";3051,82223435178;0,000411667799854042;"Fold2.Rep11";2
"128";3095,28200194545;0,0142873636160622;"Fold3.Rep11";2
"129";2184,77054060575;0,000629003413821587;"Fold4.Rep11";2
"130";1948,33373915034;0,000260459862819752;"Fold5.Rep11";2
"131";1241,9803920623;0,00278186616663915;"Fold1.Rep12";2
"132";4062,63392803156;0,00824959174394643;"Fold2.Rep12";2
"133";1453,34123074111;0,00120813746075689;"Fold3.Rep12";2
"134";1163,58339258991;0,00397418508277374;"Fold4.Rep12";2
"135";2737,76838426156;1,00919144985931e-05;"Fold5.Rep12";2
"136";1265,31662391289;0,00628114727518431;"Fold1.Rep13";2
"137";2947,70263928559;0,0233441425755228;"Fold2.Rep13";2
"138";1996,07756699463;4,25347445940789e-06;"Fold3.Rep13";2
"139";2150,9847651866;0,0013034907603297;"Fold4.Rep13";2
"140";3177,02301788513;0,000100710775108462;"Fold5.Rep13";2
"141";3056,00907144592;1,13047113909004e-06;"Fold1.Rep14";2
"142";2194,02333460948;0,000103502872003075;"Fold2.Rep14";2
"143";2943,40953332159;0,020973860015993;"Fold3.Rep14";2
"144";2182,21680689253;0,00133022685005816;"Fold4.Rep14";2
"145";1194,59233370982;0,00671804883913284;"Fold5.Rep14";2
"146";3053,0415526043;0,000125426065152579;"Fold1.Rep15";2
"147";2017,21028178297;0,000653697485742422;"Fold2.Rep15";2
"148";2184,95618920104;0,000945451888997796;"Fold3.Rep15";2
"149";2948,42833927705;0,013871050586576;"Fold4.Rep15";2
"150";1467,696849157;0,000817072388777856;"Fold5.Rep15";2
"151";2196,88366961514;0,00162339664120971;"Fold1.Rep01";3
"152";1191,86702205437;0,00990966860439833;"Fold2.Rep01";3
"153";4118,88127555545;0,00235313910971664;"Fold3.Rep01";3
"154";1201,2195381223;0,0141543169218976;"Fold4.Rep01";3
"155";2074,12895667503;0,00232394781925954;"Fold5.Rep01";3
"156";2231,74574669316;0,00489721362531142;"Fold1.Rep02";3
"157";3171,00562590824;5,12103184864721e-07;"Fold2.Rep02";3
"158";1156,78657738642;0,00410897021699304;"Fold3.Rep02";3
"159";2009,72314653152;0,0028673520323754;"Fold4.Rep02";3
"160";2926,00239434899;0,0149362892776474;"Fold5.Rep02";3
"161";2245,44516560311;0,00223144333801014;"Fold1.Rep03";3
"162";1316,84927167955;0,00698663934371365;"Fold2.Rep03";3
"163";4104,60863523425;0,00309681574077137;"Fold3.Rep03";3
"164";1146,98295099214;0,0123605912972186;"Fold4.Rep03";3
"165";2000,65772475771;0,00327508876601083;"Fold5.Rep03";3
"166";3329,10531033687;0,0103279966472934;"Fold1.Rep04";3
"167";1406,26058693504;0,0033815019969461;"Fold2.Rep04";3
"168";1111,88490071674;0,00373752445824678;"Fold3.Rep04";3
"169";2222,45803390989;0,00501406820613179;"Fold4.Rep04";3
"170";3125,39528125416;1,79347085652332e-05;"Fold5.Rep04";3
