"";"pol_coverage.Median1";"pol_coverage.Median2";"pol_coverage.Mini";"pol_pay_freq.Biannual";"pol_pay_freq.Monthly";"pol_pay_freq.Quarterly";"pol_payd.Yes";"pol_usage.AllTrips";"pol_usage.Professional";"pol_usage.Retired";"drv_drv2.Yes";"drv_sex1.F";"drv_sex2.M";"vh_fuel.Gasoline";"vh_fuel.Hybrid";"vh_type.Commercial";"pol_duration_quali_freq.[30,Inf)";"pol_sit_duration_quali_freq.2";"pol_sit_duration_quali_freq.3";"pol_sit_duration_quali_freq.4";"pol_sit_duration_quali_freq.5";"pol_sit_duration_quali_freq.[6,Inf)";"pol_bonus_quali_freq.[0.51,Inf)";"drv_age1_quali_freq.[0,45)";"drv_age1_quali_freq.[75,Inf)";"drv_age2_quali_freq.[1,28)";"drv_age2_quali_freq.[75,Inf)";"drv_age_lic1_quali_freq.[0,5)";"drv_age_lic1_quali_freq.[5,15)";"drv_age_lic1_quali_freq.[15,30)";"drv_age_lic1_quali_freq.[55,Inf)";"vh_age_quali_freq.[0,5)";"vh_age_quali_freq.[10,15)";"vh_age_quali_freq.[15,Inf)";"vh_cyl_quali_freq.[0,1200)";"vh_cyl_quali_freq.[1200,1400)";"vh_cyl_quali_freq.[1400,1600)";"vh_cyl_quali_freq.[1600,1800)";"vh_cyl_quali_freq.[2100,Inf)";"vh_din_quali_freq.[70,85)";"vh_din_quali_freq.[85,100)";"vh_din_quali_freq.[100,115)";"vh_din_quali_freq.[115,140)";"vh_din_quali_freq.[140,Inf)";"vh_sale_begin_quali_freq.[10,20)";"vh_sale_begin_quali_freq.[20,Inf)";"vh_sale_end_quali_freq.[10,20)";"vh_sale_end_quali_freq.[20,Inf)";"vh_speed_quali_freq.[0,150)";"vh_speed_quali_freq.[170,190)";"vh_speed_quali_freq.[190,215)";"vh_speed_quali_freq.[215,Inf)";"vh_value_quali_freq.[0,10000)";"vh_value_quali_freq.[20000,30000)";"vh_value_quali_freq.[30000,40000)";"vh_value_quali_freq.[40000,Inf)";"vh_weight_quali_freq.[0,800)";"vh_weight_quali_freq.[800,1000)";"vh_weight_quali_freq.[1300,1500)";"vh_weight_quali_freq.[1500,1800)";"vh_weight_quali_freq.[1800,Inf)";"vh_make_bis.AUDI";"vh_make_bis.AUTRES";"vh_make_bis.BMW";"vh_make_bis.CITROEN";"vh_make_bis.FIAT";"vh_make_bis.FORD";"vh_make_bis.MERCEDES BENZ";"vh_make_bis.NISSAN";"vh_make_bis.OPEL";"vh_make_bis.PEUGEOT";"vh_make_bis.TOYOTA";"vh_make_bis.VOLKSWAGEN";"region.AlsaceEst";"region.Aquitaine";"region.AuvergneRhoneAlpes";"region.Bourgogne";"region.Bretagne";"region.Centre";"region.Nord";"region.Normandie";"region.OutreMer-Corse";"region.PaysDeLoire";"region.Provence";"region.PyreneeLanguedoc"
"pol_coverage.Median1";1;-0,147975475397064;-0,098575043370781;-0,0032176719557867;0,0271985745174848;0,01724268431417;0,0196564338773395;-0,00626931295390618;-0,0123552883693551;-0,0317278349011921;-0,0251954627193879;-0,0388953190493994;-0,0128163096677438;0,0259449964938971;-0,00786786493334567;0,0933955163055643;-0,0169166581193358;0,00295640594172103;0,0136413665632344;0,012107283376496;0,00555855512331651;-0,031707763163124;0,0393032574639308;0,0315992988522619;-0,0354174763073926;0,00879867030858969;-0,0173126180808599;0,0376554850041278;0,0316452179113753;0,0169475479633833;-0,0217877780823457;-0,189161625959581;0,0776770213704823;0,29018341442279;0,0308413337335963;-0,0303189899674929;-0,0820917604265062;0,0608248352212812;0,0285857891769159;0,0206801134953439;-0,00836723373379621;-0,0589721224260442;-0,0446465749227656;-0,057783585627459;0,117602396721148;0,210857702700247;0,264217346674055;0,0978108298036112;0,140918970457236;-0,0561027799025611;-0,0675226417567011;-0,0343782215937821;0,0925496508713283;-0,052517889807754;-0,0341759670117339;-0,0271232616952975;0,113917384646909;0,0389012503672024;-0,0486937391697362;-0,0290623967468709;-0,00181733528432412;-0,0103980648849923;-0,0214633442396513;-0,00312137350715568;-0,00466476379573341;0,0119753102681268;0,00976326438388562;-0,00598460441034923;-0,00124134441798918;0,00276916198863453;0,00121279590372164;-0,0235607811439784;0,000761203832259726;-0,0259004235637363;0,0222347472310387;-0,0156954012014593;0,0032244130772581;0,0058241036662996;-0,0055607294605306;-0,0120929558385236;-0,0077136393670941;-0,00068387542233126;-0,00245420783626867;0,0184471459724419;0,0218604632851025
"pol_coverage.Median2";-0,147975475397064;1;-0,1415527142012;0,0106303845467487;0,0251634012996454;0,00862049565035499;0,0115179867261151;-0,00955033231484851;-0,0190554367612568;-0,0237020368928487;-0,0363594708270722;-0,0344908273288688;-0,0225306777205446;0,030579999020785;-0,00932208116177059;0,074321275584299;-0,000173571747726424;-0,0179511396206348;0,00349586828558349;0,00243676247395947;0,00774579553475435;0,0443371308439887;0,0363182961909986;0,0237896812681078;-0,0107637958197523;-0,00219474736473344;-0,0202403289084093;0,0297435756082299;0,0373677777124008;-0,00122509093084481;-0,00748239438384655;-0,247434382127138;0,207085039387124;0,143722772314064;0,00694625099215502;-0,0232149893165714;-0,0894692198937117;0,0542359209684724;0,0186893059552712;0,0166647089031228;0,00128809637613962;-0,0313043313508727;-0,0341593152007013;-0,0560899127665119;0,238179026393822;0,0713587069831644;0,256552046706845;0,0310863301253902;0,0911451662938132;-0,0273534324811601;-0,0519395309790475;-0,027247431810304;0,059009676407871;-0,0517587925277034;-0,0333163829238244;-0,0280554592278728;0,054726720586321;0,0473542041067565;-0,0466045591020051;-0,0380566769817426;-0,0101155329289013;-0,00761435901004183;-0,0167709793553333;-0,00188376653611609;-0,0182197431607861;0,0108718862421861;0,00859486960672727;-0,00920113483222045;0,00275069819013261;0,013249228965692;0,0061596208047496;-0,0165073185757417;-0,00453928229591226;0,000227747043442521;0,0123023518649695;-0,0142041744756651;-0,00171518904512827;0,00326025493212435;0,0116000488480736;0,00246937056040175;0,0011299608948215;0,00168679470835974;0,0024440027157934;0,00140043214981704;0,0165893375078179
"pol_coverage.Mini";-0,098575043370781;-0,1415527142012;1;0,00854379015583061;-0,0157517963547004;0,0118802458121189;0,0123649409308928;-0,00690389905783518;-0,018555538496622;-0,0339981089263425;-0,0695243738421877;-0,0927892380575981;-0,037227881794142;0,0555278217983121;-0,00364726307932677;0,175241047254621;-0,0119367278269512;-0,0180469948359024;-0,00431708975024899;0,00912182268121695;0,0162977987527381;0,0682979919656933;0,0163919362447754;0,00364922925525171;-0,0170476716180554;-0,0156182625225445;-0,0235422115716925;0,0203835452904563;0,00202443227949685;0,00696859887600414;-0,00165747733391077;-0,180576371654342;-0,0211980283206847;0,39998291352058;0,0807969269344193;-0,0517542495715046;-0,089453051971492;0,0589189183594477;0,0673765498020672;-0,00137525809429599;-0,0429784113782849;-0,0755304313406515;-0,0495701388524572;-0,0428528651078147;-0,0194516721639332;0,411955192880406;0,157854271842264;0,351387497029416;0,280268195388214;-0,103256018499667;-0,0792415060468097;-0,0155936346922387;0,166069046799887;-0,0634230820768393;-0,0348000644997707;-0,0101425217016793;0,20467287411299;0,0166701018137368;-0,0523267482487578;-0,0302894177233342;0,0219572985701804;-0,0125576279782997;0,0131283052958273;0,00346935408273591;0,026180709356261;0,0106114779252331;-0,00562012003348292;0,00994542795153132;-0,00796794713706059;-0,0134603597806528;-0,0203913452906506;-0,0189123644846142;-0,00264381202195214;-0,0128100243162452;0,00951658052028202;-0,000324900504837804;-0,00144885721777771;-0,015164747778319;-0,00588215813822736;-0,0146173261752866;-0,00494870782811527;0,0136728115891142;-0,0154239877896092;0,0359684772095573;0,0308452337179425
"pol_pay_freq.Biannual";-0,0032176719557867;0,0106303845467487;0,00854379015583061;1;-0,425711045772802;-0,105085681576715;-0,0140681782990554;0,00651103562043791;0,0268954310288087;0,0185417246547559;-0,0148259659130461;-0,0270142657062719;-0,0125500156652163;0,00879737925890653;-0,000589695474841463;0,034196985273072;0,0198783904453993;-0,00342798844282153;0,0126667543879816;0,0153393306985502;0,0161537856999012;0,0340139310500282;-0,0705545781724491;-0,102875951971;0,00206043288158917;0,00178059294760081;0,000814350671743001;-0,0294960866796725;-0,079011586019818;-0,034167027118294;-0,00696486831325947;-0,00932400524819882;0,000476405948571107;0,0233187637702855;0,00363229608226679;-0,00237935959897754;-0,00904594943748063;0,00623902987593164;0,0171008106206431;0,00325642947923608;-0,00283308011146057;-0,00904387474737321;-0,00213852190126178;0,00507975497759031;0,00450966056764462;0,020025662412089;0,0145918238830613;0,0127634197009589;0,0239358639429863;-0,0113499244457394;-0,00689316352700712;0,00638448249547959;0,00335016887568265;-0,00803981799261275;0,00222343544699073;0,00470324813220681;0,0159297707808393;-0,00025043378417375;-0,00459084952452874;-0,00031598370620945;0,00843309297498852;-0,00842377619670818;0,00541628464501195;0,00590056247683141;-0,00503086835452064;-0,00342010547730848;0,0056300430232612;0,0143017031146173;0,00232450847601743;-0,00194275622068533;-0,00756227973639968;0,000457858188830988;0,000984282178948242;-0,020514666688041;0,00714588010358169;0,000925224947370377;-0,00571005400388592;-0,00112467410607607;0,00587111346857238;-0,0274840132824832;-0,000148482858767037;0,00250765610424279;-0,00857996242378255;0,0178760416727618;-0,00879748586093382
"pol_pay_freq.Monthly";0,0271985745174848;0,0251634012996454;-0,0157517963547004;-0,425711045772802;1;-0,105878934421847;-0,0447674204037185;-0,00384646689981189;-0,0240118225312737;-0,17982826806306;0,00965897536344957;0,0468660725187062;0,011445748224004;-0,0542408336894024;-0,00541259671452181;-0,00947517523437569;-0,0536023601882001;0,032931859899949;-0,000310276790424304;-0,028366300236943;-0,0310419923244781;-0,0953555275540775;0,180514940550471;0,210989728074847;-0,152616114729029;0,00282031140855404;-0,0563089811835863;0,0611206752039714;0,166541126271863;0,119840383040855;-0,105999875122053;-0,0324059932594361;0,0298894981659858;-0,0263662799129601;-0,0210357956830167;-0,00579366882355855;-0,00857508191209246;0,00012675199275643;-0,0123342541705119;0,00520867921915676;0,00457675119478897;0,00828118587876172;0,00670885639864596;-0,0305435294757484;0,0280195520106183;-0,0326360123982419;0,0117711736273852;-0,0327348449912346;-0,021559274956035;0,00934119639192386;-0,00903185106028377;-0,0234511341487661;-0,0127778604332172;0,0149703596901561;-0,00909275760695453;-0,0294501269688568;-0,009939264568917;-0,00992511895279263;0,0116225458265781;-0,00537120288466591;-0,0105225419182013;0,00399931698679634;0,00433627566491067;-0,0084318291087506;-0,0100912286577096;0,0160440647325483;0,0151896358477811;-0,0317692698238576;0,00123801898741513;0,0257839797439579;-0,00372731876262457;-0,00734534358626694;0,0104588392990223;-0,024191327430322;0,0055570552824523;-0,0018136995286772;0,018092444193718;-0,00592906537183058;0,0141053220869711;0,0531892489411437;0,0201563139927894;0,0227262558135097;-0,00411333252951602;-0,00411534095968586;0,0074139483152858
"pol_pay_freq.Quarterly";0,01724268431417;0,00862049565035499;0,0118802458121189;-0,105085681576715;-0,105878934421847;1;-0,00819383521997063;0,00143608794159533;0,0199277763030723;-0,0208840753696695;-0,00879624802819709;0,00872824178221037;0,00144232921756735;-0,0130582596716385;-0,00457446225259243;0,0121723215403421;-0,0130094545480872;0,00433732003490749;0,0046619092816584;-0,00222191206130175;-0,00774397949453915;-0,024050155248712;0,0452274375544684;0,0324201497374286;-0,0220736848532772;0,00123431215918774;-0,00831664454980009;0,00768180256371489;0,0282418552554801;0,0184502747630928;-0,0163424619499796;-0,0106734843487333;0,00912388618770535;-0,000425886959362277;-0,00790357418822561;-0,00557827231513326;0,000266967344196948;-0,00113298290398975;0,0101802170669137;0,00129190017135636;0,00176900527056635;0,00134166351621716;0,000442587484923393;-0,0055612650969246;0,0106975819381262;-0,00216620135976413;0,00786171354375149;-0,006975651001153;0,00347920552086861;-0,00491376597621609;0,00100765060948809;-0,000337347542619888;-0,00473547084671696;0,00711263178102307;0,00106311170476977;-0,00804304407413739;0,00784778621075103;0,00157957018821731;-0,00553114170279133;-0,00189455733279871;0,00325249472392608;-0,000733909088702121;0,000806536148866593;-0,00270575979613704;-0,00512180520891334;-0,00125549169178312;0,0011390263726244;0,00420366924825099;-4,33185945551436e-05;-0,0048901809437046;0,000374847574609261;-0,000751361929377152;0,00199279169655858;0,00129133265874904;-0,00488865500735352;-0,00851905966922185;0,00178122530752619;0,0110427707222981;-0,00139876101680129;-0,00208095566394826;-0,00763465381508104;-0,00580233475260566;-0,00282750298988601;0,00249010104419418;0,0168277079203092
"pol_payd.Yes";0,0196564338773395;0,0115179867261151;0,0123649409308928;-0,0140681782990554;-0,0447674204037185;-0,00819383521997063;1;-0,00628145096621274;-0,0437022659264323;0,14782623107876;-0,0105281169174133;0,0247350431167373;4,44205101056377e-05;0,088422832606591;-0,00411625525680719;-0,00419469762435723;0,0177651538151599;-0,119627672053426;-0,0855566323098621;-0,0608273151294249;-0,0484536201643355;-0,0708676521610952;-0,0480691238999721;-0,0701599554693846;0,0900863392392692;-0,0181363108208414;0,0404056593997278;-0,0147997543593874;-0,0350850001769449;-0,0661038811400371;0,0546817031694013;-0,0160043419106505;0,0110363263051318;0,0326006368491245;0,0621921032295364;0,0267587541677808;-0,0260265443375904;0,00487692279570168;-0,0145944626326713;0,0238058418622305;-0,0169023196830777;-0,0204614643614663;-0,0285013455490291;-0,0172192645198831;0,0172641636854689;0,022502976684061;0,0292043507898069;0,0170322268994434;0,0224526078146289;-0,0196583189866887;-0,0235058710632556;-0,00385542597840904;0,043104203017675;-0,0463192748666281;-0,0204893263163434;-0,0103741992755118;0,0206463896555281;0,0540844193120256;-0,0354686435161092;-0,0266046700307152;-0,0112163605605553;-0,014648215815556;-0,00422897190786904;-0,00298636928581457;0,00515878174783493;0,00940791812912311;0,000895417392965578;-0,00233380643719936;0,0061988051873471;-0,00177902323795573;0,000519637383097364;-0,00363883080887294;-0,0129825094467634;-0,00280047067457962;0,00176299697348877;0,00816499132604622;-0,00524516768631918;-0,00646559851793139;-0,00310871091959106;0,00300364323669934;0,00307476223638355;-0,000534285378907745;0,00240281258023824;0,0164474729962204;-0,00902777161538933
"pol_usage.AllTrips";-0,00626931295390618;-0,00955033231484851;-0,00690389905783518;0,00651103562043791;-0,00384646689981189;0,00143608794159533;-0,00628145096621274;1;-0,0084159313765174;-0,0182051436000585;-0,00225349924623317;-0,000147334433513738;0,000299991253679523;-0,0166598718193484;-0,000853967843785682;-0,00218446609494954;-0,0014245401903817;-0,00122618037545621;-0,00203167063576337;-0,00389331911189168;0,000483045945234392;-0,00484136885949051;9,26089056409404e-05;-0,00125682416093179;-0,00859764094195413;0,00469623701624362;-0,0040055581317278;-0,00329226820297762;-0,00340495541701012;0,00187534856037402;-0,00526017143403019;0,0205670706159977;-0,00709982677112808;-0,0119052395866445;-0,00669579918118582;-0,00227198803488026;-0,000217256007547504;-0,002360310346921;0,00578388405641486;-0,00142893810154954;-0,00242896431576356;0,000981238739978693;0,0127868765741591;0,0030057424290145;-0,0113262165028601;-0,00928119830079447;-0,0139063117221076;-0,0059652421903556;-0,00603109048447313;0,00270345767607353;0,00287719939990124;0,00389535185909422;-0,00940853088304044;0,00377140825591398;0,0119943901054273;0,00720160891727377;-0,0036130811125864;-0,00733861879037736;0,00173582301588855;0,0110287292226359;0,00800017480721567;0,00170817497719289;-0,000550547009190879;-0,0037230876853741;0,00049737880514279;0,000833621731334337;-0,00333734457432542;0,00612623154191093;-0,0040055581317278;0,00123887167779327;0,00182526999103568;0,00388159181548073;0,000263321008643148;0,0122188463127239;-0,00349162588685227;5,4233416465359e-05;-0,00453007398792867;0,00567057200824012;-0,000760412584320385;-0,00476284108426545;-0,000742549614839268;-0,00185657975549854;-0,00178404546154679;-0,00212860377518576;0,00544279720068532
"pol_usage.Professional";-0,0123552883693551;-0,0190554367612568;-0,018555538496622;0,0268954310288087;-0,0240118225312737;0,0199277763030723;-0,0437022659264323;-0,0084159313765174;1;-0,168211300063339;-0,0317148894173988;-0,0679470959742123;-0,0178327869582004;-0,0970373740951371;0,0126146957398572;0,246622476144512;-0,0147377427445236;0,00969311938665103;0,00143556945387236;0,000753020226429853;-0,00471265731039283;-0,0129930907080329;0,00612003208813422;-0,00844606374200042;-0,089570750462402;0,00937016148787257;-0,0304910060690652;-0,0236079941451387;-0,0219048986316158;0,0288530388041352;-0,0538773895620647;0,0480076201922624;-0,0199742788532553;-0,0427847899349348;-0,0643574382631706;-0,0514823254711681;-0,016238719898014;-0,0121242560157503;0,155911253708544;-0,00182710914285783;0,00352098607859767;0,00211409343532103;0,0370325702616882;0,0651620699023159;-0,04217242360774;-0,0255664983145476;-0,0523663298742161;-0,0180647003206952;0,10438961629174;-0,0551220385468663;-0,00791367029493363;0,0361173109528112;-0,0607155826996297;0,0620396129140845;0,0674304916687672;0,0666957651584151;0,135648282865358;-0,0760506104537392;-0,0084939959563278;0,04989596840795;0,084190395047704;0,0127477203961436;0,0182163690463524;0,00822084580286721;-0,0182753475824364;0,00727022217561724;0,0034090068730573;0,0678466801447649;0,00951453233222549;-0,0111126117937596;-0,0156396802104211;0,00929156323623512;0,000288701967637296;-0,00875710701154053;-0,0113158099039797;-0,00904765941253124;-0,0072589447983052;-0,00597126031536633;-0,0106463163406939;-0,0214790707369023;-0,01373553944892;0,0105945050405986;-0,0250302231768989;0,0283066513571155;0,00893691516399484
"pol_usage.Retired";-0,0317278349011921;-0,0237020368928487;-0,0339981089263425;0,0185417246547559;-0,17982826806306;-0,0208840753696695;0,14782623107876;-0,0182051436000585;-0,168211300063339;1;-0,0701418099273822;-0,0445788921212265;-0,0711595491429433;0,0944682194144479;0,00532331550095106;-0,0225087759219342;0,108710932119654;-0,0478326308941639;-0,0179704527734495;0,0173495223849118;0,0312704961504822;0,107248295064556;-0,193673353751918;-0,367317943390459;0,523612909984475;-0,111314259246516;0,189338980616534;-0,065803378117518;-0,18110429080735;-0,367538162827214;0,337587080298666;-0,00674223465823023;-0,00426169575731789;0,039400426978253;0,0509294889339806;0,0334525464924807;0,00648630001749229;0,0145729838506428;-0,0453077304787647;0,0204547415446481;0,00340172330715879;-0,00499733923006108;-0,0297322205248672;-0,0404988435723127;0,00461682371200853;0,0348546590622834;0,022748540929162;0,0252514114861955;0,0129231572112151;0,00124762925737803;-0,0018447445825811;-0,0216901216025751;0,0406538139440736;-0,0433007450731578;-0,0307769622788611;-0,0288417799420294;-0,00734521350046278;0,0322341538841034;-0,00881201959009064;-0,0292946061016314;-0,0346818251661258;-0,0356806461913215;-0,0347745194048359;-0,0262216590813368;0,0590193631560762;-0,00819101861006454;-0,00317809044664571;0,010882529742236;-0,00638273086511773;-0,0151056012819605;0,00670856315807397;-0,0112496750865522;-0,0473101673740071;-0,0107427588071213;0,0311443953690241;0,0074374614973478;0,00484345928063557;0,0105249818773637;0,00146165187689341;-0,0177770810894378;0,00540765061826599;-0,00501046290007763;0,0122842401042421;0,0278083236844834;0,017803276896256
