"","id_policy","id_client","premium","claim_amount"
"6","A00000006-V01","A00000006",28.2538099493613,0
"7","A00000007-V01","A00000007",126.651929878731,2167.45
"10","A00000010-V01","A00000010",114.611687689195,0
"11","A00000011-V01","A00000011",135.99467979271,0
"23","A00000023-V01","A00000023",100.112297722616,0
"25","A00000025-V01","A00000025",154.621238398221,2348.39
"36","A00000036-V01","A00000036",34.0042016010217,0
"101","A00000094-V01","A00000094",83.846477326535,1236
"113","A00000106-V01","A00000106",36.8890801893475,0
"127","A00000118-V01","A00000118",14.7586565325306,0
"131","A00000122-V01","A00000122",50.8787721722017,0
"133","A00000124-V01","A00000124",39.2369977887337,0
"137","A00000128-V01","A00000128",80.7490332415844,3896.74
"141","A00000132-V01","A00000132",109.278207284955,0
"146","A00000137-V01","A00000137",88.9278063012331,140.43
"147","A00000138-V01","A00000138",150.665122183524,0
"187","A00000174-V01","A00000174",201.431456611241,0
"196","A00000183-V01","A00000183",60.3429703602016,77.77
"208","A00000195-V01","A00000195",83.7555404060998,229.01
"212","A00000198-V01","A00000198",165.332483626226,0
"224","A00000210-V01","A00000210",95.7739861272215,0
"230","A00000216-V01","A00000216",106.459189420979,0
"238","A00000223-V01","A00000223",31.0445241096879,0
"244","A00000227-V01","A00000227",21.5309781057769,0
"250","A00000232-V01","A00000232",15.1277256834149,0
"251","A00000232-V02","A00000232",19.6565124495947,0
"252","A00000232-V03","A00000232",21.3298606911545,0
"253","A00000232-V04","A00000232",54.8246832721326,0
"261","A00000240-V01","A00000240",55.7082719931692,0
"271","A00000248-V01","A00000248",102.472922665635,0
"287","A00000261-V01","A00000261",102.575042158097,0
"297","A00000271-V01","A00000271",210.451708837296,0
"318","A00000290-V01","A00000290",31.5497755317644,0
"324","A00000296-V01","A00000296",95.2212168959921,0
"329","A00000300-V01","A00000300",163.031839515074,0
"330","A00000301-V01","A00000301",30.581324185502,0
"350","A00000319-V01","A00000319",132.557631563496,0
"352","A00000321-V01","A00000321",30.580140338157,0
"355","A00000324-V01","A00000324",12.2677010332337,0
"394","A00000361-V01","A00000361",58.1736244963428,0
"425","A00000389-V01","A00000389",162.977484147757,0
"444","A00000406-V01","A00000406",137.973393287177,0
"457","A00000418-V01","A00000418",129.137483729747,0
"467","A00000426-V01","A00000426",17.6854212664854,0
"470","A00000429-V01","A00000429",41.444435619112,0
"476","A00000435-V01","A00000435",58.1736244963428,1236
"479","A00000438-V01","A00000438",142.920412798956,0
"481","A00000440-V01","A00000440",14.0887744351406,0
"482","A00000440-V02","A00000440",61.6033521894192,0
"507","A00000462-V01","A00000462",96.5266608476388,0
"511","A00000466-V01","A00000466",34.2734828522454,637.79
"523","A00000477-V01","A00000477",35.549720633494,0
"524","A00000477-V02","A00000477",125.807481824314,0
"540","A00000492-V01","A00000492",136.591084775497,0
"541","A00000492-V02","A00000492",154.353284566251,1451.95
"548","A00000499-V01","A00000499",60.0484796030814,0
"549","A00000500-V01","A00000500",120.289391324534,0
"553","A00000504-V01","A00000504",21.7916300031518,0
"579","A00000528-V01","A00000528",42.5404639622123,0
"587","A00000536-V01","A00000536",34.7182747931004,0
"593","A00000541-V01","A00000541",56.9607175435185,344.19
"598","A00000546-V01","A00000546",128.452795661355,1150.03
"603","A00000551-V01","A00000551",138.786269931052,1906.13
"606","A00000554-V01","A00000554",150.324455929197,0
"616","A00000562-V01","A00000562",87.4694396162911,0
"618","A00000564-V01","A00000564",57.4096578923949,1290.14
"621","A00000567-V01","A00000567",143.808000524315,0
"627","A00000572-V01","A00000572",131.471752788893,0
"630","A00000575-V01","A00000575",26.4331479337197,0
"631","A00000575-V02","A00000575",48.382408480201,0
"632","A00000575-V03","A00000575",25.7670687043095,0
"638","A00000581-V01","A00000581",30.6043479742835,1236
"639","A00000582-V01","A00000582",20.476562066751,0
"640","A00000583-V01","A00000583",55.6270016210479,0
"661","A00000603-V01","A00000603",206.626768873225,5358.86
"671","A00000612-V01","A00000612",105.72192380656,2067.78
"672","A00000613-V01","A00000613",96.591713016223,0
"674","A00000615-V01","A00000615",203.048319701355,0
"676","A00000617-V01","A00000617",108.537550520752,0
"678","A00000619-V01","A00000619",30.5688379132298,1236
"686","A00000627-V01","A00000627",11.7928750893229,0
"687","A00000628-V01","A00000628",32.0499859966777,161.81
"692","A00000633-V01","A00000633",107.395974075787,0
"701","A00000641-V01","A00000641",130.770106416165,0
"722","A00000661-V01","A00000661",40.7397817680162,0
"754","A00000689-V01","A00000689",186.643264998004,0
"757","A00000692-V01","A00000692",28.1878557176517,0
"758","A00000693-V01","A00000693",78.1957736253249,0
"762","A00000696-V01","A00000696",37.0227768446063,0
"763","A00000696-V02","A00000696",75.2653345270254,0
"764","A00000696-V03","A00000696",110.831756640104,0
"768","A00000700-V01","A00000700",25.8807467668688,0
"772","A00000704-V01","A00000704",133.723461314589,0
"785","A00000716-V01","A00000716",176.238645865444,198.86
"817","A00000745-V01","A00000745",72.8346235333017,0
"842","A00000767-V01","A00000767",24.8835141428736,0
"872","A00000795-V01","A00000795",35.2935017441105,0
"873","A00000795-V02","A00000795",160.090218030543,0
"886","A00000808-V01","A00000808",26.3043465826295,0
"888","A00000810-V01","A00000810",141.901954972828,0
"944","A00000859-V01","A00000859",113.054378606986,0
"945","A00000859-V02","A00000859",48.1720372466727,0
"950","A00000862-V01","A00000862",13.3138786898286,0
"955","A00000866-V01","A00000866",81.2529708287668,0
"972","A00000882-V01","A00000882",122.895608804935,0
"979","A00000889-V01","A00000889",106.421742671442,0
"986","A00000896-V01","A00000896",50.1147679335031,0
"996","A00000906-V01","A00000906",179.543871974199,0
"997","A00000907-V01","A00000907",28.7672024293142,0
"1017","A00000927-V01","A00000927",28.5207274095492,0
"1036","A00000944-V01","A00000944",55.2067284426831,0
"1037","A00000945-V01","A00000945",103.483409701214,0
"1038","A00000945-V02","A00000945",86.5539752657237,0
"1071","A00000976-V01","A00000976",41.8881814777592,0
"1080","A00000984-V01","A00000984",217.325534700076,0
"1091","A00000995-V01","A00000995",21.676964382057,0
"1098","A00001001-V01","A00001001",52.3126202812321,0
"1108","A00001008-V01","A00001008",136.731658996764,0
"1110","A00001010-V01","A00001010",36.2522913297118,0
"1130","A00001029-V01","A00001029",113.193897743241,0
"1152","A00001050-V01","A00001050",98.4693856558432,0
"1154","A00001052-V01","A00001052",107.621137852491,0
"1158","A00001056-V01","A00001056",10.2147099688042,0
"1167","A00001065-V01","A00001065",100.494577416836,0
"1169","A00001067-V01","A00001067",25.1691873510587,1236
"1172","A00001070-V01","A00001070",160.87795154955,0
"1175","A00001073-V01","A00001073",24.0098849298718,0
"1176","A00001074-V01","A00001074",36.1964335242555,0
"1195","A00001089-V01","A00001089",56.4009352004584,0
"1200","A00001094-V01","A00001094",114.547015714673,0
"1201","A00001094-V02","A00001094",25.2401513061748,0
"1207","A00001100-V01","A00001100",22.8397923666334,0
"1219","A00001110-V01","A00001110",22.5086579675578,0
"1220","A00001110-V02","A00001110",135.87992633678,0
"1224","A00001114-V01","A00001114",110.204110711765,0
"1232","A00001121-V01","A00001121",34.5875195013584,0
"1233","A00001121-V02","A00001121",30.0186103956833,0
"1234","A00001121-V03","A00001121",37.3754893381667,0
"1245","A00001132-V01","A00001132",93.2751769665889,645.64
"1268","A00001154-V01","A00001154",48.8535603257979,0
"1271","A00001156-V01","A00001156",129.407622042392,0
"1272","A00001157-V01","A00001157",29.7623921530511,0
"1277","A00001162-V01","A00001162",56.7731088020975,0
"1278","A00001163-V01","A00001163",83.1951624973903,0
"1280","A00001165-V01","A00001165",95.214254137519,0
"1300","A00001184-V01","A00001184",91.0286177892438,0
"1304","A00001187-V01","A00001187",210.044163955566,5601.91
"1310","A00001193-V01","A00001193",110.601822102487,0
"1315","A00001197-V01","A00001197",31.4680905638913,0
"1333","A00001214-V01","A00001214",91.8676850184354,0
"1340","A00001221-V01","A00001221",33.7063881053415,0
"1342","A00001223-V01","A00001223",14.9938592868771,0
"1343","A00001223-V02","A00001223",27.3022319339236,0
"1344","A00001223-V03","A00001223",16.412302592244,0
"1354","A00001231-V01","A00001231",31.2917876355489,0
"1367","A00001244-V01","A00001244",82.7045566077864,0
"1374","A00001250-V01","A00001250",138.532306448482,802.99
"1379","A00001255-V01","A00001255",26.7567748690158,0
"1385","A00001261-V01","A00001261",21.6634503448206,-693.23
"1387","A00001263-V01","A00001263",44.8402286185616,0
"1399","A00001273-V01","A00001273",71.8331333991051,1137.1
"1400","A00001273-V02","A00001273",43.7458391683346,0
"1401","A00001273-V03","A00001273",29.4775316580274,0
"1414","A00001283-V01","A00001283",122.074025776709,0
"1420","A00001288-V01","A00001288",122.852427123647,0
"1433","A00001300-V01","A00001300",91.2824549729181,0
"1434","A00001300-V02","A00001300",23.2203452496943,0
"1445","A00001311-V01","A00001311",131.560915398861,0
"1448","A00001314-V01","A00001314",182.233472153206,0
"1453","A00001319-V01","A00001319",148.317261883528,0
"1460","A00001326-V01","A00001326",182.533625700823,0
"1461","A00001327-V01","A00001327",169.705484076221,0
"1499","A00001363-V01","A00001363",126.272231493812,0
"1524","A00001384-V01","A00001384",113.418520320741,0
"1538","A00001398-V01","A00001398",65.8008051091212,680.62
"1559","A00001417-V01","A00001417",20.8251886902618,0
"1560","A00001417-V02","A00001417",83.5615832082072,0
"1602","A00001456-V01","A00001456",18.0991098226884,0
"1618","A00001471-V01","A00001471",88.2338983614238,0
"1628","A00001480-V01","A00001480",20.1475814748042,0
"1633","A00001485-V01","A00001485",121.039680426739,0
"1636","A00001488-V01","A00001488",64.2454726253537,1236
"1642","A00001494-V01","A00001494",84.5760430621465,0
"1646","A00001498-V01","A00001498",24.0666364972864,0
"1650","A00001502-V01","A00001502",55.0282442112249,0
"1656","A00001506-V01","A00001506",43.4612337283466,0
"1657","A00001507-V01","A00001507",33.6647609328736,0
"1661","A00001511-V01","A00001511",36.521934421405,0
"1662","A00001511-V02","A00001511",43.0175127346824,0
"1693","A00001540-V01","A00001540",31.8221929462952,0
"1701","A00001547-V01","A00001547",116.538535088641,268.19
"1717","A00001560-V01","A00001560",19.6723245079346,0
"1739","A00001581-V01","A00001581",16.5519749426997,0
"1740","A00001582-V01","A00001582",117.907895633155,0
"1745","A00001587-V01","A00001587",26.3429834151955,0
"1748","A00001590-V01","A00001590",92.9145765962314,0
"1767","A00001609-V01","A00001609",85.2528477940465,0
"1770","A00001612-V01","A00001612",53.3772328917553,0
"1777","A00001619-V01","A00001619",19.6692521708574,0
"1791","A00001632-V01","A00001632",40.3478017127638,0
"1793","A00001634-V01","A00001634",137.959120195026,0
"1801","A00001641-V01","A00001641",223.978431250064,0
"1807","A00001646-V01","A00001646",156.550978426517,0
"1811","A00001649-V01","A00001649",150.909385804048,0
"1813","A00001651-V01","A00001651",88.9540507620974,0
"1826","A00001663-V01","A00001663",54.1985219000254,0
"1831","A00001667-V01","A00001667",70.888653572248,0
"1846","A00001682-V01","A00001682",38.4311035380342,0
"1870","A00001704-V01","A00001704",93.0490951693182,0
"1871","A00001705-V01","A00001705",87.9433955088486,0
"1872","A00001706-V01","A00001706",141.885340093809,0
"1873","A00001707-V01","A00001707",133.974813482409,0
"1883","A00001716-V01","A00001716",83.009925185357,0
"1888","A00001721-V01","A00001721",78.8842823625697,0
"1897","A00001729-V01","A00001729",44.2708537657521,0
"1900","A00001732-V01","A00001732",51.2642492695109,0
"1901","A00001732-V02","A00001732",43.4629804904044,0
"1910","A00001741-V01","A00001741",84.7284181325593,0
"1914","A00001745-V01","A00001745",131.20013377966,0
"1922","A00001752-V01","A00001752",46.7964708547447,0
"1927","A00001757-V01","A00001757",99.7240257518995,0
"1928","A00001757-V02","A00001757",73.8399745175713,0
"1935","A00001762-V01","A00001762",61.9448797563635,509.12
"1939","A00001765-V01","A00001765",72.329120438433,0
"1948","A00001772-V01","A00001772",32.2754396495332,0
"1956","A00001780-V01","A00001780",27.9876208239812,0
"1957","A00001781-V01","A00001781",50.4236805109887,0
"1959","A00001783-V01","A00001783",142.431591732741,0
"1962","A00001786-V01","A00001786",171.123065790797,0
"1965","A00001788-V01","A00001788",58.0789771075315,0
"1966","A00001789-V01","A00001789",53.1111716300734,4532.04
"1967","A00001790-V01","A00001790",87.7174884638144,0
"1978","A00001801-V01","A00001801",19.2679344229014,0
"1982","A00001805-V01","A00001805",35.5318511525364,0
"1998","A00001820-V01","A00001820",128.979598441128,0
"2006","A00001827-V01","A00001827",151.470153298017,0
"2007","A00001827-V02","A00001827",18.5252456022092,0
"2008","A00001828-V01","A00001828",134.144658051756,968.9
"2021","A00001840-V01","A00001840",48.079283205326,472.48
"2040","A00001858-V01","A00001858",93.4380802582527,0
"2061","A00001879-V01","A00001879",107.333924807024,0
"2071","A00001889-V01","A00001889",128.732133111542,0
"2082","A00001898-V01","A00001898",100.950928210399,0
"2089","A00001905-V01","A00001905",118.298248187049,0
"2102","A00001917-V01","A00001917",59.6280517218141,0
"2112","A00001927-V01","A00001927",108.998788186964,0
"2129","A00001944-V01","A00001944",81.2097146202944,0
"2136","A00001951-V01","A00001951",97.8214149900712,0
"2139","A00001954-V01","A00001954",79.4828585252854,0
"2140","A00001955-V01","A00001955",102.703349943669,0
"2144","A00001959-V01","A00001959",37.9255960694858,1971.94
"2148","A00001962-V01","A00001962",92.3243542057264,0
"2150","A00001964-V01","A00001964",83.0321572428439,0
"2162","A00001974-V01","A00001974",197.228202377849,0
"2163","A00001975-V01","A00001975",135.569118786364,0
"2170","A00001980-V01","A00001980",52.2618645283494,0
"2171","A00001980-V02","A00001980",76.7399742445414,0
"2190","A00001998-V01","A00001998",86.5946106306574,0
"2191","A00001999-V01","A00001999",55.5110049443066,0
"2213","A00002020-V01","A00002020",142.362953052649,0
"2217","A00002024-V01","A00002024",137.92738036687,1941.15
"2223","A00002030-V01","A00002030",81.2106712869229,0
"2225","A00002032-V01","A00002032",35.7721042755611,0
"2245","A00002052-V01","A00002052",59.2592097185817,0
"2256","A00002061-V01","A00002061",49.16195617559,0
"2259","A00002064-V01","A00002064",96.4204729702854,0
"2269","A00002071-V01","A00002071",121.026815647185,0
"2275","A00002077-V01","A00002077",131.748606557537,297.16
"2284","A00002084-V01","A00002084",25.7609180132427,0
"2299","A00002098-V01","A00002098",117.791181989611,0
"2302","A00002101-V01","A00002101",36.4879727254427,0
"2304","A00002103-V01","A00002103",153.660664100882,0
"2316","A00002115-V01","A00002115",41.0620465807949,0
"2320","A00002118-V01","A00002118",120.432524126639,0
"2335","A00002129-V01","A00002129",98.3962545121101,0
"2348","A00002141-V01","A00002141",79.3915768370376,0
"2350","A00002143-V01","A00002143",42.613831433868,144.57
"2359","A00002151-V01","A00002151",34.9000588141308,0
"2360","A00002151-V02","A00002151",108.150244133486,0
"2362","A00002153-V01","A00002153",116.278665843767,0
"2366","A00002157-V01","A00002157",19.3213584032446,0
"2370","A00002161-V01","A00002161",130.035426505297,0
"2382","A00002173-V01","A00002173",42.1126556533866,0
"2384","A00002175-V01","A00002175",43.2568338845598,0
"2388","A00002178-V01","A00002178",60.1190177165528,0
"2389","A00002179-V01","A00002179",116.782866935507,0
"2399","A00002189-V01","A00002189",124.738202079049,0
"2400","A00002189-V02","A00002189",145.107780203257,0
"2404","A00002193-V01","A00002193",129.136074890938,0
"2415","A00002203-V01","A00002203",189.325354674347,0
